flavors,vm !=1(trap),vm==0时vd==0(trap),vstart !=0(trap),不支持的sew,,,,不支持的lmul,,,,,,,reg index对齐,,,,,,,,,,,,,,,,,,,,,if(lmul<1) overlap($); else overlap_widen($),,"if($<1) overlap(vd,lmul,vs2,$); else overlap_widen((vd,lmul,vs2,$)",,,reg index不相等,,,,,其他,,,,,index load,1/8 <= emul <=8(emul=lmul*eew/sew),,no_constraint,instr,match,mask,has_vs2,has_vs1,is_ready
,,,,8,16,32,64,1/8,1/4,1/2,1,2,4,8,"align(vd,lmul)","align(vd,lmul*2)","align(vd,emul)","align(vs2,lmul)","align(vs2,emul)","align(vs2,lmul*2)","align(vs2,lmul/2)","align(vs2,lmul/4)","align(vs2,lmul/8)","align(vs1,lmul)","align(vs1,emul)","align(vd,2)","align(vd,4)","align(vd,8)","align(vs2,2)","align(vs2,4)","align(vs2,8)","align(vs3,2)","align(vs3,4)","align(vs3,8)","align(vs3,nfield)","(vd, lmul*2, vs2, lmul)","(vd, lmul*2, vs1, lmul)",lmul/2,lmul/4,lmul/8,vd != vs2,vd != vs2 && vd != vs1,"if(vd != vs2)overlap(vd,1,vs2,lmul)","if(vd != vs2)overlap(vd,1,vs2,lmul*2)","if(vd != vs1)overlap(vd,1,vs1,lmul)",vm==0 && vd==0 && lmul>1(trap),"overlap(vd,lmul,vs2,1)","overlap(vd,lmul,vs1,1)","overlap(vd,lmul,vs1,emul)",(nf*emul <= 8) && (vd+nf*emul <= 32),所有约束,eew=16,eew=width,134,instr,match,mask,,,
"vwsub.wx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,vwsub.wx,0xdc006057,0xfc00707f,1,0,
"vzext.vf2 vd, vs2, vm",,1,,1,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,3,vzext.vf2,0x48032057,0xfc0ff07f,1,0,
"vsext.vf2 vd, vs2, vm",,1,,1,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,3,vsext.vf2,0x4803a057,0xfc0ff07f,1,0,
"vzext.vf4 vd, vs2, vm",,1,,1,1,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,3,vzext.vf4,0x48022057,0xfc0ff07f,1,0,
"vsext.vf4 vd, vs2, vm",,1,,1,1,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,3,vsext.vf4,0x4802a057,0xfc0ff07f,1,0,
"vzext.vf8 vd, vs2, vm",,1,,1,1,1,,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,vzext.vf8,0x48012057,0xfc0ff07f,1,0,
"vsext.vf8 vd, vs2, vm",,1,,1,1,1,,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,vsext.vf8,0x4801a057,0xfc0ff07f,1,0,
"vadc.vvm vd, vs2, vs1, v0",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vadc.vvm,0x40000057,0xfe00707f,1,1,
"vadc.vxm vd, vs2, rs1, v0",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vadc.vxm,0x40004057,0xfe00707f,1,0,
"vadc.vim vd, vs2, imm, v0",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vadc.vim,0x40003057,0xfe00707f,1,0,
"vmadc.vvm vd, vs2, vs1, v0",,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vmadc.vvm,0x44000057,0xfe00707f,1,1,
"vmadc.vxm vd, vs2, rs1, v0",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmadc.vxm,0x44004057,0xfe00707f,1,0,
"vmadc.vim vd, vs2, imm, v0",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmadc.vim,0x44003057,0xfe00707f,1,0,
"vmadc.vv vd, vs2, vs1",,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vmadc.vv,0x46000057,0xfe00707f,1,1,
"vmadc.vx vd, vs2, rs1",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmadc.vx,0x46004057,0xfe00707f,1,0,
"vmadc.vi vd, vs2, imm",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmadc.vi,0x46003057,0xfe00707f,1,0,
"vsbc.vvm vd, vs2, vs1, v0",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vsbc.vvm,0x48000057,0xfe00707f,1,1,
"vsbc.vxm vd, vs2, rs1, v0",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsbc.vxm,0x48004057,0xfe00707f,1,0,
"vmsbc.vvm vd, vs2, vs1, v0",,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vmsbc.vvm,0x4c000057,0xfe00707f,1,1,
"vmsbc.vxm vd, vs2,rs1, v0",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmsbc.vxm,0x4c004057,0xfe00707f,1,0,
"vmsbc.vv vd, vs2,vs1",,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vmsbc.vv,0x4e000057,0xfe00707f,1,1,
"vmsbc.vx vd, vs2, rs1",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmsbc.vx,0x4e004057,0xfe00707f,1,0,
"vand.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vand.vv,0x24000057,0xfc00707f,1,1,
"vand.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vand.vx,0x24004057,0xfc00707f,1,0,
"vand.vi vd, vs2, imm, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vand.vi,0x24003057,0xfc00707f,1,0,
"vor.vv vd, vs2, vs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vor.vv,0x28000057,0xfc00707f,1,1,
"vor.vx vd, vs2, rs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vor.vx,0x28004057,0xfc00707f,1,0,
