flavors,vm !=1(trap),vm==0时vd==0(trap),vstart !=0(trap),不支持的sew,,,,不支持的lmul,,,,,,,reg index对齐,,,,,,,,,,,,,,,,,,,,,if(lmul<1) overlap($); else overlap_widen($),,"if($<1) overlap(vd,lmul,vs2,$); else overlap_widen((vd,lmul,vs2,$)",,,reg index不相等,,,,,其他,,,,,index load,1/8 <= emul <=8(emul=lmul*eew/sew),,no_constraint,instr,match,mask,has_vs2,has_vs1,is_ready
,,,,8,16,32,64,1/8,1/4,1/2,1,2,4,8,"align(vd,lmul)","align(vd,lmul*2)","align(vd,emul)","align(vs2,lmul)","align(vs2,emul)","align(vs2,lmul*2)","align(vs2,lmul/2)","align(vs2,lmul/4)","align(vs2,lmul/8)","align(vs1,lmul)","align(vs1,emul)","align(vd,2)","align(vd,4)","align(vd,8)","align(vs2,2)","align(vs2,4)","align(vs2,8)","align(vs3,2)","align(vs3,4)","align(vs3,8)","align(vs3,nfield)","(vd, lmul*2, vs2, lmul)","(vd, lmul*2, vs1, lmul)",lmul/2,lmul/4,lmul/8,vd != vs2,vd != vs2 && vd != vs1,"if(vd != vs2)overlap(vd,1,vs2,lmul)","if(vd != vs2)overlap(vd,1,vs2,lmul*2)","if(vd != vs1)overlap(vd,1,vs1,lmul)",vm==0 && vd==0 && lmul>1(trap),"overlap(vd,lmul,vs2,1)","overlap(vd,lmul,vs1,1)","overlap(vd,lmul,vs1,emul)",(nf*emul <= 8) && (vd+nf*emul <= 32),所有约束,eew=16,eew=width,134,instr,match,mask,,,
"vmaxu.vx vd, vs2, rs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmaxu.vx,0x18004057,0xfc00707f,1,0,
"vmax.vv vd, vs2, vs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vmax.vv,0x1c000057,0xfc00707f,1,1,
"vmax.vx vd, vs2, rs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmax.vx,0x1c004057,0xfc00707f,1,0,
"vmul.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vmul.vv,0x94002057,0xfc00707f,1,1,
"vmul.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vmul.vx,0x94006057,0xfc00707f,1,0,
"vmulh.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vmulh.vv,0x9c002057,0xfc00707f,1,1,
"vmulh.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vmulh.vx,0x9c006057,0xfc00707f,1,0,
"vmulhu.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vmulhu.vv,0x90002057,0xfc00707f,1,1,
"vmulhu.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vmulhu.vx,0x90006057,0xfc00707f,1,0,
"vmulhsu.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vmulhsu.vv,0x98002057,0xfc00707f,1,1,
"vmulhsu.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vmulhsu.vx,0x98006057,0xfc00707f,1,0,
"vdivu.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vdivu.vv,0x80002057,0xfc00707f,1,1,
"vdivu.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vdivu.vx,0x80006057,0xfc00707f,1,0,
"vdiv.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vdiv.vv,0x84002057,0xfc00707f,1,1,
"vdiv.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vdiv.vx,0x84006057,0xfc00707f,1,0,
"vremu.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vremu.vv,0x88002057,0xfc00707f,1,1,
"vremu.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vremu.vx,0x88006057,0xfc00707f,1,0,
"vrem.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vrem.vv,0x8c002057,0xfc00707f,1,1,
"vrem.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vrem.vx,0x8c006057,0xfc00707f,1,0,
"vwmul.vv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vwmul.vv,0xec002057,0xfc00707f,1,1,
"vwmul.vx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwmul.vx,0xec006057,0xfc00707f,1,0,
"vwmulu.vv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vwmulu.vv,0xe0002057,0xfc00707f,1,1,
"vwmulu.vx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwmulu.vx,0xe0006057,0xfc00707f,1,0,
"vwmulsu.vv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vwmulsu.vv,0xe8002057,0xfc00707f,1,1,
"vwmulsu.vx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwmulsu.vx,0xe8006057,0xfc00707f,1,0,
"vmacc.vv vd, vs1, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vmacc.vv,0xb4002057,0xfc00707f,1,1,
"vmacc.vx vd, rs1, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vmacc.vx,0xb4006057,0xfc00707f,1,0,
"vnmsac.vv vd, vs1, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vnmsac.vv,0xbc002057,0xfc00707f,1,1,
"vnmsac.vx vd, rs1, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vnmsac.vx,0xbc006057,0xfc00707f,1,0,
"vmadd.vx vd, vs1, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vmadd.vv,0xa4002057,0xfc00707f,1,1,
"vmadd.vx vd, rs1, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vmadd.vx,0xa4006057,0xfc00707f,1,0,
"vnmsub.vv vd, vs1, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vnmsub.vv,0xac002057,0xfc00707f,1,1,
"vnmsub.vx vd, rs1, vs2, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vnmsub.vx,0xac006057,0xfc00707f,1,0,
"vwmaccu.vv vd, vs1, vs2, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vwmaccu.vv,0xf0002057,0xfc00707f,1,1,
"vwmaccu.vx vd, rs1, vs2, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwmaccu.vx,0xf0006057,0xfc00707f,1,0,
"vwmacc.vv vd, vs1, vs2, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vwmacc.vv,0xf4002057,0xfc00707f,1,1,
"vwmacc.vx vd, rs1, vs2, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwmacc.vx,0xf4006057,0xfc00707f,1,0,
"vwmaccsu.vv vd, vs1, vs2, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vwmaccsu.vv,0xfc002057,0xfc00707f,1,1,
"vwmaccsu.vx vd, rs1, vs2, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwmaccsu.vx,0xfc006057,0xfc00707f,1,0,
"vwmaccus.vx vd, rs1, vs2, vm",,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vwmaccus.vx,0xf8006057,0xfc00707f,1,0,
"vmerge.vvm vd, vs2, vs1, v0",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vmerge.vvm,0x5c000057,0xfe00707f,1,1,
"vmerge.vxm vd, vs2, rs1, v0",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vmerge.vxm,0x5c004057,0xfe00707f,1,0,
"vmerge.vim vd, vs2, imm, v0",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vmerge.vim,0x5c003057,0xfe00707f,1,0,
"vmv.v.v vd, vs1",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vmv.v.v,0x5e000057,0xfff0707f,0,1,
"vmv.v.x vd, rs1",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vmv.v.x,0x5e004057,0xfff0707f,0,0,
"vmv.v.i vd, imm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vmv.v.i,0x5e003057,0xfff0707f,0,0,
"vsaddu.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vsaddu.vv,0x80000057,0xfc00707f,1,1,
"vsaddu.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsaddu.vx,0x80004057,0xfc00707f,1,0,
"vsaddu.vi vd, vs2, imm, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsaddu.vi,0x80003057,0xfc00707f,1,0,
"vsadd.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vsadd.vv,0x84000057,0xfc00707f,1,1,
"vsadd.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsadd.vx,0x84004057,0xfc00707f,1,0,
"vsadd.vi vd, vs2, imm, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsadd.vi,0x84003057,0xfc00707f,1,0,
"vssubu.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vssubu.vv,0x88000057,0xfc00707f,1,1,
"vssubu.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vssubu.vx,0x88004057,0xfc00707f,1,0,
"vssub.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vssub.vv,0x8c000057,0xfc00707f,1,1,
"vssub.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vssub.vx,0x8c004057,0xfc00707f,1,0,
"vaaddu.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vaaddu.vv,0x20002057,0xfc00707f,1,1,
"vaaddu.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vaaddu.vx,0x20006057,0xfc00707f,1,0,
"vaadd.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vaadd.vv,0x24002057,0xfc00707f,1,1,
"vaadd.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vaadd.vx,0x24006057,0xfc00707f,1,0,
"vasubu.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vasubu.vv,0x28002057,0xfc00707f,1,1,
"vasubu.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vasubu.vx,0x28006057,0xfc00707f,1,0,
"vasub.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vasub.vv,0x2c002057,0xfc00707f,1,1,
"vasub.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vasub.vx,0x2c006057,0xfc00707f,1,0,
"vsmul.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vsmul.vv,0x9c000057,0xfc00707f,1,1,
"vsmul.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsmul.vx,0x9c004057,0xfc00707f,1,0,
"vssrl.vv vd, vs2, vs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vssrl.vv,0xa8000057,0xfc00707f,1,1,
"vssrl.vx vd, vs2, rs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vssrl.vx,0xa8004057,0xfc00707f,1,0,
"vssrl.vi vd, vs2, uimm, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vssrl.vi,0xa8003057,0xfc00707f,1,0,
"vssra.vv vd, vs2, vs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vssra.vv,0xac000057,0xfc00707f,1,1,
"vssra.vx vd, vs2, rs1, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vssra.vx,0xac004057,0xfc00707f,1,0,
"vssra.vi vd, vs2, uimm, vm",,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vssra.vi,0xac003057,0xfc00707f,1,0,
"vnclipu.wv vd, vs2, vs1, vm",,,,,,,1,,,,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,vnclipu.wv,0xb8000057,0xfc00707f,1,1,
"vnclipu.wx vd, vs2, rs1, vm",,,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,vnclipu.wx,0xb8004057,0xfc00707f,1,0,
"vnclipu.wi vd, vs2, uimm, vm",,,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,vnclipu.wi,0xb8003057,0xfc00707f,1,0,
"vnclip.wv vd, vs2, vs1, vm",,,,,,,1,,,,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,vnclip.wv,0xbc000057,0xfc00707f,1,1,
"vnclip.wx vd, vs2, rs1, vm",,,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,vnclip.wx,0xbc004057,0xfc00707f,1,0,
"vnclip.wi vd, vs2, uimm, vm",,,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,vnclip.wi,0xbc003057,0xfc00707f,1,0,
"vfadd.vv vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfadd.vv,0x1057,0xfc00707f,1,1,
"vfadd.vf vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfadd.vf,0x5057,0xfc00707f,1,1,
"vfsub.vv vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfsub.vv,0x8001057,0xfc00707f,1,1,
"vfsub.vf vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfsub.vf,0x8005057,0xfc00707f,1,1,
"vfrsub.vf vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfrsub.vf,0x9c005057,0xfc00707f,1,1,
"vfwadd.vv vd, vs2, vs1, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vfwadd.vv,0xc0001057,0xfc00707f,1,1,
"vfwadd.vf vd, vs2, vs1, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vfwadd.vf,0xc0005057,0xfc00707f,1,1,
"vfwsub.vv vd, vs2, vs1, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vfwsub.vv,0xc8001057,0xfc00707f,1,1,
"vfwsub.vf vd, vs2, rs1, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vfwsub.vf,0xc8005057,0xfc00707f,1,0,
"vfwadd.wv vd, vs2, vs1, vm",,1,,1,,,1,,,,,,,1,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,vfwadd.wv,0xd0001057,0xfc00707f,1,1,
"vfwadd.wf vd, vs2, rs1, vm",,1,,1,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,vfwadd.wf,0xd0005057,0xfc00707f,1,0,
"vfwsub.wv vd, vs2, vs1, vm",,1,,1,,,1,,,,,,,1,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,vfwsub.wv,0xd8001057,0xfc00707f,1,1,
"vfwsub.wf vd, vs2, rs1, vm",,1,,1,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,vfwsub.wf,0xd8005057,0xfc00707f,1,0,
"vfmul.vv vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfmul.vv,0x90001057,0xfc00707f,1,1,
"vfmul.vf vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfmul.vf,0x90005057,0xfc00707f,1,1,
"vfdiv.vv vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfdiv.vv,0x80001057,0xfc00707f,1,1,
"vfdiv.vf vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfdiv.vf,0x80005057,0xfc00707f,1,1,
"vfrdiv.vf vd, vs2, vs1, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfrdiv.vf,0x84005057,0xfc00707f,1,1,
"vfwmul.vv vd, vs2, vs1, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vfwmul.vv,0xe0001057,0xfc00707f,1,1,
"vfwmul.vf vd, vs2, rs1, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vfwmul.vf,0xe0005057,0xfc00707f,1,0,
"vfmacc.vv vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfmacc.vv,0xb0001057,0xfc00707f,1,1,
"vfmacc.vf vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfmacc.vf,0xb0005057,0xfc00707f,1,1,
"vfnmacc.vv vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfnmacc.vv,0xb4001057,0xfc00707f,1,1,
"vfnmacc.vf vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfnmacc.vf,0xb4005057,0xfc00707f,1,1,
"vfmsac.vv vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfmsac.vv,0xb8001057,0xfc00707f,1,1,
"vfmsac.vf vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfmsac.vf,0xb8005057,0xfc00707f,1,1,
"vfnmsac.vv vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfnmsac.vv,0xbc001057,0xfc00707f,1,1,
"vfnmsac.vf vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfnmsac.vf,0xbc005057,0xfc00707f,1,1,
"vfmadd.vv vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfmadd.vv,0xa0001057,0xfc00707f,1,1,
"vfmadd.vf vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfmadd.vf,0xa0005057,0xfc00707f,1,1,
"vfnmadd.vv vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfnmadd.vv,0xa4001057,0xfc00707f,1,1,
"vfnmadd.vf vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfnmadd.vf,0xa4005057,0xfc00707f,1,1,
"vfmsub.vv vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfmsub.vv,0xa8001057,0xfc00707f,1,1,
"vfmsub.vf vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfmsub.vf,0xa8005057,0xfc00707f,1,1,
"vfnmsub.vv vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,vfnmsub.vv,0xac001057,0xfc00707f,1,1,
"vfnmsub.vf vd, vs1, vs2, vm",,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vfnmsub.vf,0xac005057,0xfc00707f,1,1,
"vfwmacc.vv vd, vs1, vs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vfwmacc.vv,0xf0001057,0xfc00707f,1,1,
"vfwmacc.vf vd, vs1, rs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vfwmacc.vf,0xf0005057,0xfc00707f,0,1,
"vfwnmacc.vv vd, vs1, vs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vfwnmacc.vv,0xf4001057,0xfc00707f,1,1,
"vfwnmacc.vf vd, vs1, rs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,vfwnmacc.vf,0xf4005057,0xfc00707f,0,1,
"vfwmsac.vv vd, vs1, vs2, vm",,1,,1,,,1,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,7,vfwmsac.vv,0xf8001057,0xfc00707f,1,1,
